0,1.55E+000
1,1.56E+000
2,2.01E+000
3,2.34E+000
4,2.59E+000
5,2.78E+000
6,2.94E+000
7,3.04E+000
8,3.14E+000
9,3.20E+000
10,3.26E+000
11,3.30E+000
12,3.32E+000
13,3.34E+000
14,3.35E+000
15,3.35E+000
16,3.35E+000
17,3.34E+000
18,3.34E+000
19,3.32E+000
20,3.30E+000
21,3.31E+000
22,3.28E+000
23,3.27E+000
24,3.26E+000
25,3.23E+000
27,3.21E+000
29,3.18E+000
31,3.15E+000
33,3.11E+000
35,3.08E+000
37,3.05E+000
39,3.01E+000
41,2.97E+000
43,2.93E+000
45,2.90E+000
47,2.88E+000
49,2.84E+000
51,2.81E+000
53,2.78E+000
55,2.74E+000
57,2.71E+000
59,2.68E+000
60,2.67E+000
64,2.60E+000
68,2.54E+000
72,2.48E+000
76,2.42E+000
80,2.37E+000
84,2.31E+000
88,2.25E+000
92,2.20E+000
96,2.14E+000
100,2.09E+000
104,2.06E+000
108,2.00E+000
112,1.95E+000
116,1.90E+000
120,1.85E+000
124,1.82E+000
128,1.77E+000
132,1.73E+000
136,1.68E+000
140,1.65E+000
144,1.62E+000
148,1.57E+000
152,1.53E+000
156,1.50E+000
160,1.46E+000
164,1.43E+000
168,1.39E+000
172,1.36E+000
176,1.32E+000
180,1.30E+000
184,1.26E+000
188,1.24E+000
192,1.21E+000
196,1.18E+000
200,1.15E+000
204,1.12E+000
208,1.10E+000
212,1.07E+000
216,1.05E+000
220,1.03E+000
224,1.00E+000
228,9.82E-001
232,9.51E-001
236,9.33E-001
240,9.11E-001
244,8.85E-001
248,8.68E-001
252,8.51E-001
256,8.28E-001
260,8.11E-001
264,7.90E-001
268,7.71E-001
272,7.52E-001
276,7.35E-001
280,7.21E-001
284,7.03E-001
288,6.88E-001
292,6.72E-001
296,6.63E-001
300,6.46E-001
