# mesh name: boxMesh_1
# primitive scorer name: eD
# iX, iY, iZ, value [Gy]
0,0,0,1.087096410132609e-08
0,1,0,1.041522791973368e-08
0,2,0,9.952851961403644e-09
0,3,0,1.171496650179039e-08
0,4,0,1.16539768016035e-08
0,5,0,1.185729315915626e-08
0,6,0,1.211218897554219e-08
0,7,0,1.53069413660074e-08
0,8,0,1.462969674261113e-08
0,9,0,1.396289600501441e-08
0,10,0,1.399231603982904e-08
0,11,0,1.423061575626398e-08
0,12,0,1.353660805648657e-08
0,13,0,1.243230162650657e-08
0,14,0,1.339912549633448e-08
0,15,0,1.283667528273242e-08
0,16,0,1.36078351452024e-08
0,17,0,1.545984681148218e-08
0,18,0,1.421684172884213e-08
0,19,0,1.444745515521087e-08
0,20,0,1.534972304442507e-08
0,21,0,1.369462382695452e-08
0,22,0,1.673932438140166e-08
0,23,0,1.552477589067081e-08
0,24,0,1.394071893363574e-08
0,25,0,1.392906693604439e-08
0,26,0,1.59533508069622e-08
0,27,0,1.606398669915871e-08
0,28,0,1.473324319076886e-08
0,29,0,1.530576870403351e-08
0,30,0,1.454467513402397e-08
0,31,0,1.381175013788931e-08
0,32,0,1.318679720389095e-08
0,33,0,1.492533929873008e-08
0,34,0,1.389296377265052e-08
0,35,0,1.466637824257476e-08
0,36,0,1.438954537690183e-08
0,37,0,1.473143104268645e-08
0,38,0,1.461591790329115e-08
0,39,0,1.676397395146523e-08
0,40,0,1.59976568332176e-08
0,41,0,1.502353741679958e-08
0,42,0,1.619312073758401e-08
0,43,0,1.492890733688576e-08
0,44,0,1.635832467659339e-08
0,45,0,1.730511396967978e-08
0,46,0,1.634504586630913e-08
0,47,0,1.86835083574088e-08
0,48,0,1.892646147903741e-08
0,49,0,1.965880578725274e-08
0,50,0,1.808196140950451e-08
0,51,0,2.196645970040586e-08
0,52,0,1.849415797950868e-08
0,53,0,1.615356281619187e-08
0,54,0,1.794039891090734e-08
0,55,0,1.592193530321628e-08
0,56,0,1.619539532517337e-08
0,57,0,1.716006631895199e-08
0,58,0,1.735676986404512e-08
0,59,0,1.626013306006214e-08
0,60,0,1.701868962665107e-08
0,61,0,1.482807574346731e-08
0,62,0,1.720823121021408e-08
0,63,0,1.866208506363489e-08
0,64,0,1.900197187668757e-08
0,65,0,1.755236559960057e-08
0,66,0,1.684221262388727e-08
0,67,0,1.715860430571504e-08
0,68,0,1.668266353619695e-08
0,69,0,1.683462173642939e-08
0,70,0,1.630983342307528e-08
0,71,0,1.861427453443826e-08
0,72,0,1.785994186752852e-08
0,73,0,1.859453832740381e-08
0,74,0,1.878297253527425e-08
0,75,0,1.802085801964692e-08
0,76,0,1.661758642631725e-08
0,77,0,1.830749197185793e-08
0,78,0,1.877752666300983e-08
0,79,0,1.752075985526603e-08
0,80,0,1.756356529328197e-08
0,81,0,1.767437414624127e-08
0,82,0,2.095530171573454e-08
0,83,0,1.874200558968863e-08
0,84,0,1.840598742571869e-08
0,85,0,1.819799412603358e-08
0,86,0,1.942222951575824e-08
0,87,0,1.940164764921586e-08
0,88,0,2.070419043342441e-08
0,89,0,1.992148604951792e-08
0,90,0,2.014680083081321e-08
0,91,0,1.796335041182628e-08
0,92,0,2.075430675104727e-08
0,93,0,2.09668273862675e-08
0,94,0,2.200504456529416e-08
0,95,0,2.027279465146842e-08
0,96,0,1.97394865337071e-08
0,97,0,2.228557993418494e-08
0,98,0,1.962134214580397e-08
0,99,0,2.069600375399665e-08
0,100,0,2.023342439077883e-08
0,101,0,2.137286424276071e-08
0,102,0,2.079126124447174e-08
0,103,0,2.268659452077282e-08
0,104,0,2.394977125004382e-08
0,105,0,2.254529534839124e-08
0,106,0,2.448400019012048e-08
0,107,0,2.536044546995326e-08
0,108,0,2.278772254762005e-08
0,109,0,2.391275241103682e-08
0,110,0,2.387259434304113e-08
0,111,0,2.088472841543257e-08
0,112,0,2.037727580066364e-08
0,113,0,2.057242731418331e-08
0,114,0,2.256015842845883e-08
0,115,0,2.406839760778938e-08
0,116,0,2.450046440599944e-08
0,117,0,2.399037940090127e-08
0,118,0,2.688156430520224e-08
0,119,0,2.441748183381645e-08
0,120,0,2.222171659880119e-08
0,121,0,2.375128564950098e-08
0,122,0,2.177273386798682e-08
0,123,0,2.659825709435282e-08
0,124,0,2.65519957863265e-08
0,125,0,2.691619156268968e-08
0,126,0,2.506743788638577e-08
0,127,0,2.297541256770524e-08
0,128,0,2.685657781001775e-08
0,129,0,2.500732532420512e-08
0,130,0,2.371641034436108e-08
0,131,0,2.503233879426122e-08
0,132,0,2.614249772660909e-08
0,133,0,2.532792815166675e-08
0,134,0,2.759323926452792e-08
0,135,0,2.575212941959408e-08
0,136,0,2.400751133526662e-08
0,137,0,2.431167385437757e-08
0,138,0,2.775776969306518e-08
0,139,0,2.498001286131539e-08
0,140,0,2.753902089538752e-08
0,141,0,2.725232366166457e-08
0,142,0,2.546414047620659e-08
0,143,0,2.598327964765994e-08
0,144,0,2.323378152782877e-08
0,145,0,2.599354524904555e-08
0,146,0,2.554693824431589e-08
0,147,0,2.588100078600549e-08
0,148,0,2.523814602939138e-08
0,149,0,2.667587735499313e-08
0,150,0,2.852014631687366e-08
0,151,0,2.890079599389982e-08
0,152,0,2.795054186467107e-08
0,153,0,3.048823903281111e-08
0,154,0,2.921198518716275e-08
0,155,0,2.960886021058209e-08
0,156,0,3.159232787297053e-08
0,157,0,3.022610803864848e-08
0,158,0,3.014163684923943e-08
0,159,0,2.995638232265214e-08
0,160,0,3.041769204562463e-08
0,161,0,3.521337951356491e-08
0,162,0,3.398395164752556e-08
0,163,0,3.36503127731321e-08
0,164,0,3.299467719359574e-08
0,165,0,2.846168717720951e-08
0,166,0,2.996986823322064e-08
0,167,0,3.022915871808427e-08
0,168,0,3.105827574476646e-08
0,169,0,3.172312486478336e-08
0,170,0,3.520336670245058e-08
0,171,0,3.216105367926697e-08
0,172,0,3.346733076026753e-08
0,173,0,3.16363401952233e-08
0,174,0,3.203311676380553e-08
0,175,0,3.296441886769733e-08
0,176,0,3.062050177933693e-08
0,177,0,3.210409183460916e-08
0,178,0,3.385623801727674e-08
0,179,0,3.034676136921551e-08
0,180,0,3.166518183866228e-08
0,181,0,3.375965058545321e-08
0,182,0,3.317885958974735e-08
0,183,0,3.28939324722325e-08
0,184,0,3.428746066932757e-08
0,185,0,3.508124154242356e-08
0,186,0,3.748760468840493e-08
0,187,0,3.420123915820435e-08
0,188,0,3.373450797455051e-08
0,189,0,3.022769787120122e-08
0,190,0,3.183584950375245e-08
0,191,0,3.115554597269166e-08
0,192,0,3.405271088071316e-08
0,193,0,3.42852942717593e-08
0,194,0,3.690114938686153e-08
0,195,0,3.800060422317327e-08
0,196,0,4.062039160454978e-08
0,197,0,3.743885929736014e-08
0,198,0,3.578582900094332e-08
0,199,0,3.602822745857339e-08
0,200,0,3.634507980028501e-08
0,201,0,3.657448694284782e-08
0,202,0,3.570324689915064e-08
0,203,0,3.571662936603655e-08
0,204,0,3.568135419084123e-08
0,205,0,4.114947423380848e-08
0,206,0,3.780456203476138e-08
0,207,0,3.867668614283464e-08
0,208,0,3.630042636617437e-08
0,209,0,3.932509293904486e-08
0,210,0,4.01281632458621e-08
0,211,0,3.708762331457801e-08
0,212,0,3.970461039835523e-08
0,213,0,3.81037907359545e-08
0,214,0,3.657460939271724e-08
0,215,0,3.915121218238532e-08
0,216,0,3.92017928235686e-08
0,217,0,4.145125168991627e-08
0,218,0,4.343183767462646e-08
0,219,0,4.659624757445576e-08
0,220,0,4.573748950394205e-08
0,221,0,4.631328702252311e-08
0,222,0,4.792641285335389e-08
0,223,0,4.161080458807963e-08
0,224,0,4.302368593772697e-08
0,225,0,4.564224383463618e-08
0,226,0,4.343403583540676e-08
0,227,0,4.324302417031808e-08
0,228,0,4.400108134746981e-08
0,229,0,4.508671015765862e-08
0,230,0,4.52094739505345e-08
0,231,0,4.582554434554154e-08
0,232,0,4.545399024219704e-08
0,233,0,4.515800030547385e-08
0,234,0,4.687999449540966e-08
0,235,0,4.516017778411239e-08
0,236,0,4.820674129333844e-08
0,237,0,4.644069177455908e-08
0,238,0,4.835823590869766e-08
0,239,0,4.445914468205131e-08
0,240,0,4.467779039030616e-08
0,241,0,4.106556144476193e-08
0,242,0,3.987407954292386e-08
0,243,0,4.196123479609255e-08
0,244,0,4.723759852636894e-08
0,245,0,4.757388163380335e-08
0,246,0,4.742002232834848e-08
0,247,0,4.797643907050096e-08
0,248,0,4.584780822067342e-08
0,249,0,4.921050828745173e-08
0,250,0,5.06901232542805e-08
0,251,0,4.907090479294341e-08
0,252,0,5.193487692461941e-08
0,253,0,5.126957869086088e-08
0,254,0,5.225989878219837e-08
0,255,0,4.893899324847487e-08
0,256,0,4.900624378694987e-08
0,257,0,4.814470162171004e-08
0,258,0,5.088208008859465e-08
0,259,0,4.8581324523818e-08
0,260,0,4.905730668081656e-08
0,261,0,4.817535337506961e-08
0,262,0,4.900862371736633e-08
0,263,0,5.148746135164425e-08
0,264,0,5.073267049328813e-08
0,265,0,4.989149771923587e-08
0,266,0,5.441563670734613e-08
0,267,0,5.278744514253292e-08
0,268,0,5.545444223382649e-08
0,269,0,5.444166021684112e-08
0,270,0,5.2521308467273e-08
0,271,0,5.655376291466386e-08
0,272,0,5.512601397484006e-08
0,273,0,5.399404664407508e-08
0,274,0,5.234272406845813e-08
0,275,0,5.303440027985831e-08
0,276,0,5.519340688909167e-08
0,277,0,5.735327805853848e-08
0,278,0,5.358579205605693e-08
0,279,0,5.494086766156926e-08
0,280,0,5.687466904976467e-08
0,281,0,5.8847181451451e-08
0,282,0,5.814918791680885e-08
0,283,0,6.015572932900702e-08
0,284,0,5.981912386037661e-08
0,285,0,5.883937857967338e-08
0,286,0,6.074079900949737e-08
