# mesh name: boxMesh_1
# primitive scorer name: eD
# iX, iY, iZ, value [Gy]
0,0,0,7.53699078164898e-09
0,1,0,6.611205256262443e-09
0,2,0,6.891971962213898e-09
0,3,0,9.471217383958724e-09
0,4,0,8.98008255326405e-09
0,5,0,8.142303185099888e-09
0,6,0,8.229529485635372e-09
0,7,0,8.121643123451313e-09
0,8,0,8.824637197519548e-09
0,9,0,7.141690506333467e-09
0,10,0,7.239441656873473e-09
0,11,0,7.872470997329006e-09
0,12,0,8.640709208434302e-09
0,13,0,7.765718844836871e-09
0,14,0,9.261092618936226e-09
0,15,0,9.516792725608235e-09
0,16,0,9.447084458719493e-09
0,17,0,8.577159309940283e-09
0,18,0,1.078739294136455e-08
0,19,0,9.674507528240498e-09
0,20,0,8.659559629815559e-09
0,21,0,1.090021288283445e-08
0,22,0,1.077642038278136e-08
0,23,0,9.263320522485035e-09
0,24,0,9.093806525374379e-09
0,25,0,1.034540779386928e-08
0,26,0,8.702133787049864e-09
0,27,0,9.989629988569871e-09
0,28,0,1.023836215608907e-08
0,29,0,1.097588816212992e-08
0,30,0,1.033494393686177e-08
0,31,0,1.126842490725717e-08
0,32,0,9.938899677964898e-09
0,33,0,9.799667068290673e-09
0,34,0,9.861307687433625e-09
0,35,0,1.128302999409864e-08
0,36,0,1.063161859064694e-08
0,37,0,1.401423567104911e-08
0,38,0,1.151254550972781e-08
0,39,0,1.038688926101005e-08
0,40,0,8.70271493047641e-09
0,41,0,1.130741051870782e-08
0,42,0,1.217303015329548e-08
0,43,0,1.123830218764041e-08
0,44,0,9.911436802364796e-09
0,45,0,1.094248606338447e-08
0,46,0,1.186073974232775e-08
0,47,0,1.16888548793969e-08
0,48,0,1.152960659197228e-08
0,49,0,1.061763716973639e-08
0,50,0,1.088046940955071e-08
0,51,0,9.640079047640077e-09
0,52,0,1.045503683933292e-08
0,53,0,1.182648217971514e-08
0,54,0,1.082577091793968e-08
0,55,0,1.226759141004002e-08
0,56,0,1.245187871157228e-08
0,57,0,1.00553375887116e-08
0,58,0,1.08275941040499e-08
0,59,0,1.265308108043457e-08
0,60,0,1.277243968352504e-08
0,61,0,1.2336804891848e-08
0,62,0,1.365279730780505e-08
0,63,0,1.329946860825128e-08
0,64,0,1.189166920741286e-08
0,65,0,1.33201258842489e-08
0,66,0,1.073272520949914e-08
0,67,0,1.252848693984639e-08
0,68,0,1.371633378219667e-08
0,69,0,1.357405481742616e-08
0,70,0,1.392522029554071e-08
0,71,0,1.611465415968254e-08
0,72,0,1.440214329168186e-08
0,73,0,1.312652915185247e-08
0,74,0,1.437812871875519e-08
0,75,0,1.316680514334486e-08
0,76,0,1.4483192959337e-08
0,77,0,1.404535028238888e-08
0,78,0,1.147947911225702e-08
0,79,0,1.432246152196124e-08
0,80,0,1.422490084674408e-08
0,81,0,1.256665555847669e-08
0,82,0,1.282149000832052e-08
0,83,0,1.295286647024303e-08
0,84,0,1.487182327830405e-08
0,85,0,1.640154580020291e-08
0,86,0,1.499963025107117e-08
0,87,0,1.72102489078243e-08
0,88,0,1.663765116648513e-08
0,89,0,1.623561919806784e-08
0,90,0,1.512101040329863e-08
0,91,0,1.502445600271534e-08
0,92,0,1.346418064664637e-08
0,93,0,1.373638823911703e-08
0,94,0,1.29970591567438e-08
0,95,0,1.433622182745585e-08
0,96,0,1.427371132872691e-08
0,97,0,1.519369558691212e-08
0,98,0,1.402735912396648e-08
0,99,0,1.327324489551768e-08
0,100,0,1.407365609041005e-08
0,101,0,1.511963560828826e-08
0,102,0,1.622351693819833e-08
0,103,0,1.572919231270361e-08
0,104,0,1.493223195970606e-08
0,105,0,1.60845878738756e-08
0,106,0,1.503001692712483e-08
0,107,0,1.928235053243011e-08
0,108,0,1.88749191519759e-08
0,109,0,1.714897310620214e-08
0,110,0,1.536390354483707e-08
0,111,0,1.567138132339231e-08
0,112,0,1.364077567429288e-08
0,113,0,1.688993150687002e-08
0,114,0,1.784827732737233e-08
0,115,0,1.708077879937594e-08
0,116,0,1.69584172060949e-08
0,117,0,1.693760256034485e-08
0,118,0,1.769447616003281e-08
0,119,0,1.57664356342628e-08
0,120,0,1.662957191636321e-08
0,121,0,1.67201324843848e-08
0,122,0,1.71016740008719e-08
0,123,0,1.784844936670464e-08
0,124,0,1.778168006607264e-08
0,125,0,1.587030760024411e-08
0,126,0,1.834336439471034e-08
0,127,0,1.683483378043811e-08
0,128,0,1.627515693384313e-08
0,129,0,1.392037436003631e-08
0,130,0,1.650196046524071e-08
0,131,0,1.750404288171867e-08
0,132,0,1.816466672884613e-08
0,133,0,1.827961702426603e-08
0,134,0,1.941270329548158e-08
0,135,0,1.804076745157674e-08
0,136,0,1.959548661766061e-08
0,137,0,1.876773385505629e-08
0,138,0,1.820374623265283e-08
0,139,0,1.563821211778699e-08
0,140,0,1.601290811661329e-08
0,141,0,1.742753310915195e-08
0,142,0,1.910926242278877e-08
0,143,0,1.855753324839387e-08
0,144,0,1.951074568363723e-08
0,145,0,1.968845835229243e-08
0,146,0,1.876702345519542e-08
0,147,0,1.765898651651347e-08
0,148,0,1.888788819561364e-08
0,149,0,1.829026152496941e-08
0,150,0,1.782556210990772e-08
0,151,0,2.10411304315642e-08
0,152,0,2.122043357984672e-08
0,153,0,2.06442071007892e-08
0,154,0,1.869260489618018e-08
0,155,0,2.148418407010608e-08
0,156,0,2.06812397527833e-08
0,157,0,2.000825421413438e-08
0,158,0,2.1030409030728e-08
0,159,0,2.154910269231657e-08
0,160,0,2.12781790188645e-08
0,161,0,2.10058160516651e-08
0,162,0,2.312140824874556e-08
0,163,0,2.27854275326623e-08
0,164,0,2.102984700236555e-08
0,165,0,1.914000951814651e-08
0,166,0,1.989382319221467e-08
0,167,0,2.001832205543669e-08
0,168,0,2.035135773595393e-08
0,169,0,2.530286687405895e-08
0,170,0,2.124314906557563e-08
0,171,0,2.332257720109375e-08
0,172,0,2.380420192834156e-08
0,173,0,2.306464893905543e-08
0,174,0,2.42269524774051e-08
0,175,0,2.446714107844815e-08
0,176,0,2.591720244320379e-08
0,177,0,2.306043006696278e-08
0,178,0,2.48071921245513e-08
0,179,0,2.201287691978194e-08
0,180,0,2.327520381490595e-08
0,181,0,2.468145558521667e-08
0,182,0,2.325070771158711e-08
0,183,0,2.509027478176031e-08
0,184,0,2.285629967334703e-08
0,185,0,2.105502183084054e-08
0,186,0,2.259493289502731e-08
0,187,0,2.35853462788671e-08
0,188,0,2.436663554292282e-08
0,189,0,2.437799752911123e-08
0,190,0,2.46431643860178e-08
0,191,0,2.521213888875943e-08
0,192,0,2.456086685571655e-08
0,193,0,2.45541023595766e-08
0,194,0,2.59331241965412e-08
0,195,0,2.341555422955167e-08
0,196,0,2.57741313006729e-08
0,197,0,2.71371340903326e-08
0,198,0,2.927564455703318e-08
0,199,0,2.62538129797065e-08
0,200,0,2.507142715514836e-08
0,201,0,2.455934497150075e-08
0,202,0,2.757691925395357e-08
0,203,0,2.713353615256088e-08
0,204,0,3.159619166364195e-08
0,205,0,3.294679325590751e-08
0,206,0,2.898506300132627e-08
0,207,0,2.744730826644e-08
0,208,0,2.971560013899381e-08
0,209,0,3.354198008906699e-08
0,210,0,3.18722064028428e-08
0,211,0,2.789685156077904e-08
