# mesh name: boxMesh_1
# primitive scorer name: eD
# iX, iY, iZ, value [Gy]
0,0,0,1.450788889045069e-08
0,1,0,1.63992026809457e-08
0,2,0,1.598358718008644e-08
0,3,0,1.694714655961784e-08
0,4,0,1.342574593348672e-08
0,5,0,1.463849332113497e-08
0,6,0,1.50588696910863e-08
0,7,0,1.549890990951484e-08
0,8,0,1.668275212566183e-08
0,9,0,1.754744251879653e-08
0,10,0,1.688172906336717e-08
0,11,0,1.732950073529508e-08
0,12,0,1.620699037440908e-08
0,13,0,1.626765542744705e-08
0,14,0,1.824542399992539e-08
0,15,0,1.815127029068553e-08
0,16,0,1.850252898047136e-08
0,17,0,1.791676884636321e-08
0,18,0,1.746261307987677e-08
0,19,0,1.85715665887693e-08
0,20,0,1.699242290513464e-08
0,21,0,1.801203866375846e-08
0,22,0,2.000385997860501e-08
0,23,0,2.000661322530238e-08
0,24,0,1.966497177918037e-08
0,25,0,1.953378274624996e-08
0,26,0,1.797690416210376e-08
0,27,0,1.728860146510807e-08
0,28,0,2.001928441255239e-08
0,29,0,2.057332265945284e-08
0,30,0,2.030934571790405e-08
0,31,0,1.976157489294469e-08
0,32,0,1.857573513219497e-08
0,33,0,1.787489681982507e-08
0,34,0,2.114583184098837e-08
0,35,0,2.034353271175643e-08
0,36,0,2.156735774541638e-08
0,37,0,2.156579118136406e-08
0,38,0,1.831123354795018e-08
0,39,0,1.968335304074057e-08
0,40,0,1.806697615689965e-08
0,41,0,2.019022310106047e-08
0,42,0,1.879479461189928e-08
0,43,0,2.031595937646498e-08
0,44,0,2.072780779852646e-08
0,45,0,2.045243179370204e-08
0,46,0,1.94841868918126e-08
0,47,0,1.976605424797171e-08
0,48,0,1.837804755800089e-08
0,49,0,2.011955201662542e-08
0,50,0,1.969038426573455e-08
0,51,0,1.855238551263628e-08
0,52,0,2.055570235547295e-08
0,53,0,2.150342078344487e-08
0,54,0,2.296567482095314e-08
0,55,0,2.15709919399821e-08
0,56,0,2.331650395796696e-08
0,57,0,2.102040876331816e-08
0,58,0,2.122835602313492e-08
0,59,0,2.233840839759897e-08
0,60,0,2.414169480399684e-08
0,61,0,2.72592141384088e-08
0,62,0,2.507104799534844e-08
0,63,0,2.434331715988636e-08
0,64,0,2.38618165568857e-08
0,65,0,2.295797653633942e-08
0,66,0,2.247353707324768e-08
0,67,0,2.347718983223238e-08
0,68,0,2.574697787308483e-08
0,69,0,2.459053984906749e-08
0,70,0,2.616113827655979e-08
0,71,0,2.462594615305314e-08
0,72,0,2.448149265410083e-08
0,73,0,2.284602998421743e-08
0,74,0,2.160931811746857e-08
0,75,0,2.63299521122608e-08
0,76,0,2.407128020953593e-08
0,77,0,2.440796369398632e-08
0,78,0,2.552234161597845e-08
0,79,0,2.486851795234427e-08
0,80,0,2.600318216643799e-08
0,81,0,2.795241433623977e-08
0,82,0,2.659076336072834e-08
0,83,0,2.478339695554703e-08
0,84,0,2.316650014482488e-08
0,85,0,2.450403449296509e-08
0,86,0,2.737701665783675e-08
0,87,0,2.623668499923536e-08
0,88,0,2.431165715976397e-08
0,89,0,2.54703849139547e-08
0,90,0,2.53421324992793e-08
0,91,0,2.45155941278489e-08
0,92,0,2.49135599720357e-08
0,93,0,2.766869489622801e-08
0,94,0,2.527024407731698e-08
0,95,0,2.562848411463066e-08
0,96,0,2.3784331119591e-08
0,97,0,2.633648226445508e-08
0,98,0,2.662022018393607e-08
0,99,0,2.618859429339808e-08
0,100,0,2.762076451544407e-08
0,101,0,2.703519322777093e-08
0,102,0,2.522590524651439e-08
0,103,0,2.757883199387694e-08
0,104,0,2.720866156825543e-08
0,105,0,2.725481515895849e-08
0,106,0,2.815804534360306e-08
0,107,0,3.038915122351996e-08
0,108,0,3.26228804090576e-08
0,109,0,2.974786053114475e-08
0,110,0,2.735408616783766e-08
0,111,0,2.899465382109087e-08
0,112,0,3.007724003532001e-08
0,113,0,2.990416050498069e-08
0,114,0,2.997117985089035e-08
0,115,0,2.970644431255842e-08
0,116,0,2.762946303999675e-08
0,117,0,2.96930541928837e-08
0,118,0,2.921386620484132e-08
0,119,0,3.183747221707376e-08
0,120,0,3.130069359091177e-08
0,121,0,2.936078700383362e-08
0,122,0,3.257481881203271e-08
0,123,0,3.275786017129113e-08
0,124,0,3.203065264363514e-08
0,125,0,3.399521416914032e-08
0,126,0,3.163233134132491e-08
0,127,0,2.767532838901147e-08
0,128,0,2.991006021508029e-08
0,129,0,3.084785857807065e-08
0,130,0,3.107664784522917e-08
0,131,0,2.804027380420598e-08
0,132,0,2.926590279895452e-08
0,133,0,2.975907456033215e-08
0,134,0,3.300611487061579e-08
0,135,0,3.183094646850577e-08
0,136,0,3.209751267752198e-08
0,137,0,3.472316596887477e-08
0,138,0,3.342562528960199e-08
0,139,0,3.025306209324436e-08
0,140,0,3.033466113615727e-08
0,141,0,3.529641523082022e-08
0,142,0,3.302316883583031e-08
0,143,0,3.593615327680479e-08
0,144,0,3.596882110745346e-08
0,145,0,3.581057980796459e-08
0,146,0,3.686119969024985e-08
0,147,0,3.353293672713317e-08
0,148,0,3.466386010071963e-08
0,149,0,3.361248051288516e-08
0,150,0,3.437935002937478e-08
0,151,0,3.641786907311381e-08
0,152,0,3.572758252820857e-08
0,153,0,3.868230542846605e-08
0,154,0,3.769755627125288e-08
0,155,0,3.598689844881865e-08
0,156,0,3.748719629386736e-08
0,157,0,3.835143085124426e-08
0,158,0,4.255748911759034e-08
0,159,0,3.521845982221043e-08
0,160,0,3.879970374527688e-08
0,161,0,3.691755926821246e-08
0,162,0,3.812315278461592e-08
0,163,0,3.585056915631924e-08
0,164,0,3.750897694218535e-08
0,165,0,3.61327300111879e-08
0,166,0,3.605973017754724e-08
0,167,0,3.938405451581822e-08
0,168,0,3.964575883197967e-08
0,169,0,4.276623960988869e-08
0,170,0,3.798752750494476e-08
0,171,0,3.823293721069473e-08
0,172,0,3.733035667378479e-08
0,173,0,4.055724999020888e-08
0,174,0,3.93301665895776e-08
0,175,0,3.941092213543378e-08
0,176,0,3.993619577054927e-08
0,177,0,4.102889426020561e-08
0,178,0,4.033565880616217e-08
0,179,0,4.121283100746015e-08
0,180,0,4.328502800958937e-08
0,181,0,4.417192658300526e-08
0,182,0,4.261696646348808e-08
0,183,0,4.389326135063178e-08
0,184,0,4.545325568790701e-08
0,185,0,4.086563170370934e-08
0,186,0,4.670876853574945e-08
0,187,0,4.213364643777132e-08
0,188,0,4.116497002482353e-08
0,189,0,4.188749973822381e-08
0,190,0,4.462108145308756e-08
0,191,0,4.306922422730038e-08
0,192,0,4.645802597539032e-08
0,193,0,4.501282432011759e-08
0,194,0,4.857560953554086e-08
0,195,0,4.649854943646616e-08
0,196,0,4.566908369700058e-08
0,197,0,4.593711252761331e-08
0,198,0,4.919739311164388e-08
0,199,0,4.971856739957858e-08
0,200,0,4.643223998728588e-08
0,201,0,4.580637508521554e-08
0,202,0,4.218955168742504e-08
0,203,0,4.573226858994733e-08
0,204,0,4.583021697877977e-08
0,205,0,4.616299587942747e-08
0,206,0,4.604416496666751e-08
0,207,0,4.899011776352523e-08
0,208,0,4.804990387052195e-08
0,209,0,4.70515562819683e-08
0,210,0,5.021181190924839e-08
0,211,0,4.883870356917563e-08
0,212,0,4.861433927790926e-08
0,213,0,4.801558768855402e-08
0,214,0,5.072660609673565e-08
0,215,0,5.04489611100624e-08
0,216,0,5.136700362007786e-08
0,217,0,4.900620834152449e-08
0,218,0,4.924212352032095e-08
0,219,0,5.207552802726506e-08
0,220,0,5.478673704531643e-08
0,221,0,5.238983830454581e-08
0,222,0,5.228918529712592e-08
0,223,0,5.265312355501927e-08
0,224,0,5.157024611817206e-08
0,225,0,5.125150118279656e-08
0,226,0,5.589496644596041e-08
0,227,0,5.345486876939751e-08
0,228,0,5.352576415328873e-08
0,229,0,5.421135680435012e-08
0,230,0,5.543726438069743e-08
0,231,0,5.89425662018748e-08
0,232,0,5.812244633399922e-08
0,233,0,5.580623323553963e-08
0,234,0,5.361990090227232e-08
0,235,0,5.438191480592726e-08
0,236,0,5.55920319661457e-08
0,237,0,5.808613505596397e-08
0,238,0,5.543280594136918e-08
0,239,0,5.583639440937774e-08
0,240,0,5.624739597637543e-08
0,241,0,5.814713549786389e-08
0,242,0,5.733919649336197e-08
0,243,0,6.030693893814729e-08
0,244,0,6.216797364764001e-08
0,245,0,5.997830839301134e-08
0,246,0,6.34250925224943e-08
0,247,0,6.259786133980913e-08
0,248,0,6.246182910474866e-08
0,249,0,5.91171333836311e-08
0,250,0,5.891088693870026e-08
0,251,0,6.443717825438946e-08
0,252,0,6.068288123620802e-08
0,253,0,6.423783557050078e-08
0,254,0,5.9618689568925e-08
0,255,0,6.294414434409998e-08
0,256,0,6.635237217070335e-08
0,257,0,6.318340035763736e-08
0,258,0,6.331337533525016e-08
0,259,0,6.405402608979062e-08
0,260,0,6.171787275686987e-08
0,261,0,6.128501187850146e-08
0,262,0,6.566382329616106e-08
0,263,0,6.337803496471686e-08
0,264,0,6.422084223037549e-08
0,265,0,6.747687902524784e-08
0,266,0,7.003647374089979e-08
0,267,0,6.923060792930397e-08
0,268,0,6.614851448378505e-08
0,269,0,6.510594355353699e-08
0,270,0,6.6074675498324e-08
0,271,0,6.388059585364593e-08
0,272,0,6.599740514659471e-08
0,273,0,6.94079100694441e-08
0,274,0,6.968629246048239e-08
0,275,0,7.052815559601927e-08
0,276,0,7.092700117914907e-08
0,277,0,7.265716833420496e-08
0,278,0,6.833670423950208e-08
0,279,0,7.164052441009684e-08
0,280,0,7.155075921880357e-08
0,281,0,7.34435396379403e-08
0,282,0,7.299192948129147e-08
0,283,0,7.65648240111788e-08
0,284,0,7.625715261427409e-08
0,285,0,7.753017767845746e-08
