# mesh name: boxMesh_1
# primitive scorer name: eD
# iX, iY, iZ, value [Gy]
0,0,0,1.549367017482513e-08
0,1,0,1.519060094230688e-08
0,2,0,1.632468111687254e-08
0,3,0,1.641410816830341e-08
0,4,0,1.665124038832209e-08
0,5,0,1.679164451850863e-08
0,6,0,1.577547239109853e-08
0,7,0,1.727959698659345e-08
0,8,0,1.781572031935929e-08
0,9,0,1.78350117307941e-08
0,10,0,1.700475236876798e-08
0,11,0,1.784400175413295e-08
0,12,0,1.677369110968804e-08
0,13,0,1.898777589839648e-08
0,14,0,1.874882387700033e-08
0,15,0,1.724639731000587e-08
0,16,0,1.803937896342587e-08
0,17,0,1.720715798745195e-08
0,18,0,1.588375540875393e-08
0,19,0,1.613656599959497e-08
0,20,0,1.8998034528851e-08
0,21,0,1.972035204553183e-08
0,22,0,2.146045411792303e-08
0,23,0,1.654205580303221e-08
0,24,0,1.8052109061263e-08
0,25,0,1.652719749870201e-08
0,26,0,1.888262252672302e-08
0,27,0,1.78436139960294e-08
0,28,0,1.958454621971424e-08
0,29,0,1.671050187050575e-08
0,30,0,1.664869111806008e-08
0,31,0,1.845310458719476e-08
0,32,0,1.829641664786476e-08
0,33,0,2.090484481287763e-08
0,34,0,2.073552040995637e-08
0,35,0,2.001720188224281e-08
0,36,0,2.118108379789045e-08
0,37,0,2.117589901832968e-08
0,38,0,2.108313254750047e-08
0,39,0,2.142576125207229e-08
0,40,0,2.046713398647223e-08
0,41,0,2.164084477392089e-08
0,42,0,1.997306229017088e-08
0,43,0,2.205007144463516e-08
0,44,0,2.145368954493993e-08
0,45,0,2.392334610941626e-08
0,46,0,2.122001668397734e-08
0,47,0,2.156562410872806e-08
0,48,0,2.117869160854644e-08
0,49,0,2.144182808976541e-08
0,50,0,2.061818002178924e-08
0,51,0,2.073681275548496e-08
0,52,0,2.289314238394121e-08
0,53,0,2.369173861990563e-08
0,54,0,2.398117912084368e-08
0,55,0,2.387670664106602e-08
0,56,0,2.240094352097653e-08
0,57,0,2.129231906389199e-08
0,58,0,2.198846450859055e-08
0,59,0,2.093485107173889e-08
0,60,0,2.169347895030116e-08
0,61,0,2.509390203838296e-08
0,62,0,2.492234765159478e-08
0,63,0,2.582374729207262e-08
0,64,0,2.563724224009885e-08
0,65,0,2.329157882552335e-08
0,66,0,2.461450890385362e-08
0,67,0,2.139385650303559e-08
0,68,0,2.228442426817367e-08
0,69,0,2.107231296867032e-08
0,70,0,2.272447279635159e-08
0,71,0,2.228946857741911e-08
0,72,0,2.223036792570867e-08
0,73,0,2.52383517843768e-08
0,74,0,2.473267231135997e-08
0,75,0,2.472457436404345e-08
0,76,0,2.341464169667247e-08
0,77,0,2.292432664514402e-08
0,78,0,2.302039919940191e-08
0,79,0,2.300981939357183e-08
0,80,0,2.511337622469904e-08
0,81,0,2.488845717768842e-08
0,82,0,2.502101265360688e-08
0,83,0,2.594862398606119e-08
0,84,0,2.533724264705175e-08
0,85,0,2.387354563644836e-08
0,86,0,2.594740223735193e-08
0,87,0,2.706234128270067e-08
0,88,0,2.516456306816362e-08
0,89,0,2.651354970112791e-08
0,90,0,2.524029505342287e-08
0,91,0,2.484487735822855e-08
0,92,0,2.540774494278896e-08
0,93,0,2.711724125380906e-08
0,94,0,2.622361999792942e-08
0,95,0,2.555314016946739e-08
0,96,0,2.862962902756133e-08
0,97,0,2.903691338628353e-08
0,98,0,2.646194867009264e-08
0,99,0,2.701143532491615e-08
0,100,0,2.724145370365954e-08
0,101,0,3.1504492157763e-08
0,102,0,2.982142510870223e-08
0,103,0,2.819056804150929e-08
0,104,0,2.639001576211483e-08
0,105,0,2.569123217998715e-08
0,106,0,2.816551739507706e-08
0,107,0,2.742536949715544e-08
0,108,0,2.918999049059016e-08
0,109,0,2.680194647427677e-08
0,110,0,2.980269118489969e-08
0,111,0,2.977109052081474e-08
0,112,0,2.930873299240163e-08
0,113,0,2.851775685517397e-08
0,114,0,2.818579168907953e-08
0,115,0,2.969800263767831e-08
0,116,0,3.055920012173198e-08
0,117,0,2.886397813869341e-08
0,118,0,3.09140008603844e-08
0,119,0,3.005751770796764e-08
0,120,0,2.837123037936544e-08
0,121,0,2.972112207176478e-08
0,122,0,2.833122156864293e-08
0,123,0,3.199878761665686e-08
0,124,0,2.963049731204229e-08
0,125,0,3.268148339686954e-08
0,126,0,3.330713536255319e-08
0,127,0,3.295539389598943e-08
0,128,0,3.131153076020755e-08
0,129,0,3.29324036668173e-08
0,130,0,3.106344000899098e-08
0,131,0,3.387898831176825e-08
0,132,0,3.291230396648042e-08
0,133,0,3.181397946474427e-08
0,134,0,3.383707394282491e-08
0,135,0,3.092820551028723e-08
0,136,0,3.026029199124322e-08
0,137,0,3.414621639533343e-08
0,138,0,3.26641907997352e-08
0,139,0,3.538016710513926e-08
0,140,0,3.381990794755322e-08
0,141,0,3.342790045093774e-08
0,142,0,3.200167579730416e-08
0,143,0,3.398581232363646e-08
0,144,0,3.250134651796005e-08
0,145,0,3.362148607948635e-08
0,146,0,3.27936776664671e-08
0,147,0,3.510819055577443e-08
0,148,0,3.522359692194878e-08
0,149,0,3.382566961440694e-08
0,150,0,3.50731879147981e-08
0,151,0,3.454383350477697e-08
0,152,0,3.689011416340125e-08
0,153,0,3.78489750082038e-08
0,154,0,3.861542674601443e-08
0,155,0,3.532397739019612e-08
0,156,0,3.569581281678652e-08
0,157,0,3.75538775729965e-08
0,158,0,3.502082411660583e-08
0,159,0,3.662937617712304e-08
0,160,0,4.131553502035702e-08
0,161,0,3.959958670393904e-08
0,162,0,3.81603752651626e-08
0,163,0,3.689116877676458e-08
0,164,0,3.911466928253782e-08
0,165,0,3.728975694613273e-08
0,166,0,3.886877444073831e-08
0,167,0,3.816545904763497e-08
0,168,0,3.816450752997046e-08
0,169,0,4.047043894229024e-08
0,170,0,4.333134412760401e-08
0,171,0,3.966323136502667e-08
0,172,0,3.928720335142428e-08
0,173,0,4.131522377411406e-08
0,174,0,3.773239057212744e-08
0,175,0,4.068936830945279e-08
0,176,0,4.030650157921398e-08
0,177,0,4.514319434917989e-08
0,178,0,4.302412657941623e-08
0,179,0,4.153998718506661e-08
0,180,0,4.295973791258514e-08
0,181,0,4.102305667109195e-08
0,182,0,4.398307982877205e-08
0,183,0,4.445995974917143e-08
0,184,0,3.93684551055181e-08
0,185,0,4.415711883302333e-08
0,186,0,4.22458963522704e-08
0,187,0,3.900652416365481e-08
0,188,0,4.023972139172146e-08
0,189,0,4.485406414299187e-08
0,190,0,4.800141789604631e-08
0,191,0,4.16556220587914e-08
0,192,0,4.109613086701042e-08
0,193,0,4.415331269742471e-08
0,194,0,4.524769111770305e-08
0,195,0,4.7352745361749e-08
0,196,0,4.683668947817049e-08
0,197,0,4.645437487040572e-08
0,198,0,4.445326273471139e-08
0,199,0,4.709143731647318e-08
0,200,0,4.807490249156582e-08
0,201,0,5.049781983897081e-08
0,202,0,4.770986519065533e-08
0,203,0,5.073231404200183e-08
0,204,0,4.912528078351367e-08
0,205,0,5.224546407408029e-08
0,206,0,5.016256559506116e-08
0,207,0,4.934568044711537e-08
0,208,0,4.76830767214258e-08
0,209,0,4.912103326036498e-08
0,210,0,4.896423365922412e-08
0,211,0,4.645911850236188e-08
0,212,0,4.99568137728153e-08
0,213,0,4.906063061413212e-08
0,214,0,4.746953427541912e-08
0,215,0,4.877464959610361e-08
0,216,0,5.17589087520987e-08
0,217,0,5.370414571519526e-08
0,218,0,5.200766361382952e-08
0,219,0,5.593956497630137e-08
0,220,0,5.805823362941219e-08
0,221,0,5.555999938870337e-08
0,222,0,4.957173681200585e-08
0,223,0,4.692050252742813e-08
0,224,0,5.102431961728474e-08
0,225,0,5.427418929035159e-08
0,226,0,5.777041393739404e-08
0,227,0,5.573273653863201e-08
0,228,0,5.357976075669531e-08
0,229,0,5.04434783459199e-08
0,230,0,5.947808451803411e-08
0,231,0,5.583447981260406e-08
0,232,0,5.516934336732657e-08
0,233,0,5.577755902891185e-08
0,234,0,5.3036416183332e-08
0,235,0,5.746599727001415e-08
0,236,0,5.746816364839743e-08
0,237,0,5.866308223594033e-08
0,238,0,5.625702574383777e-08
0,239,0,6.072336136620491e-08
0,240,0,6.33889303790991e-08
0,241,0,6.335992369990334e-08
0,242,0,5.917555705978607e-08
0,243,0,5.938996746828418e-08
0,244,0,5.592758743616752e-08
0,245,0,5.916120973939112e-08
0,246,0,5.830520225798821e-08
0,247,0,5.810417053229829e-08
0,248,0,6.049011354352331e-08
0,249,0,5.613732023129642e-08
0,250,0,6.099058190850416e-08
0,251,0,6.170675388743594e-08
0,252,0,6.118615666690145e-08
0,253,0,6.476558191222273e-08
0,254,0,6.252725749187278e-08
0,255,0,6.4303596555172e-08
0,256,0,6.448572753629053e-08
0,257,0,6.266796656531662e-08
0,258,0,6.439786160553859e-08
0,259,0,6.434583284526671e-08
0,260,0,6.409703971970316e-08
0,261,0,6.457658706885862e-08
0,262,0,6.422473050973982e-08
0,263,0,6.354450559892697e-08
0,264,0,6.9370803244211e-08
0,265,0,6.527174083020219e-08
0,266,0,6.394550412444016e-08
0,267,0,6.474163224620934e-08
0,268,0,6.346611913178194e-08
0,269,0,6.283749974132512e-08
0,270,0,6.948841566381959e-08
0,271,0,7.167431029295676e-08
0,272,0,6.838933359961842e-08
0,273,0,6.998420696968913e-08
0,274,0,7.125324199384077e-08
0,275,0,7.114951233530538e-08
0,276,0,7.298137582898844e-08
0,277,0,7.100387703609106e-08
0,278,0,7.319078635626272e-08
0,279,0,7.375495861779708e-08
0,280,0,7.332620448826738e-08
0,281,0,7.109059866956089e-08
0,282,0,7.441273915270687e-08
0,283,0,7.0957679460108e-08
0,284,0,7.379381088055942e-08
0,285,0,7.272059230112485e-08
0,286,0,7.364501194501646e-08
0,287,0,7.253180484614814e-08
0,288,0,7.066448404432772e-08
0,289,0,7.418831192360627e-08
0,290,0,7.464756932855276e-08
0,291,0,7.315195303171123e-08
0,292,0,7.4672164521628e-08
0,293,0,7.518901411897229e-08
0,294,0,7.750725981474276e-08
0,295,0,7.670231943108444e-08
0,296,0,8.274057947160625e-08
0,297,0,7.981289295531438e-08
0,298,0,7.723923764505541e-08
0,299,0,7.381735375562788e-08
0,300,0,7.98596425055651e-08
0,301,0,8.045036182114498e-08
0,302,0,8.367408672628457e-08
0,303,0,8.093860666373644e-08
0,304,0,8.151539433877564e-08
0,305,0,7.650082395209898e-08
0,306,0,8.16625180307288e-08
0,307,0,8.017724976625571e-08
0,308,0,7.876670168784239e-08
0,309,0,7.867164817018427e-08
0,310,0,8.359064807353214e-08
0,311,0,8.538205866253869e-08
0,312,0,8.330900894501981e-08
0,313,0,8.025031764403742e-08
0,314,0,8.34477843335971e-08
0,315,0,8.196542501536053e-08
0,316,0,8.474595398909773e-08
0,317,0,8.219726468359468e-08
0,318,0,8.856418145614627e-08
0,319,0,8.5664740363747e-08
0,320,0,9.249620704226772e-08
0,321,0,9.454662634646448e-08
0,322,0,9.48132885769734e-08
0,323,0,9.312641198326998e-08
0,324,0,9.522166219898143e-08
0,325,0,9.320217726759482e-08
0,326,0,9.353215478644882e-08
0,327,0,9.236924569976794e-08
0,328,0,9.227833270686318e-08
0,329,0,8.818954664203583e-08
0,330,0,8.892873996307467e-08
0,331,0,9.500875689407318e-08
0,332,0,9.422629726624753e-08
0,333,0,9.562334936178114e-08
0,334,0,9.4692385419213e-08
0,335,0,9.586763107216571e-08
0,336,0,9.438483113761919e-08
0,337,0,9.742315643714356e-08
0,338,0,9.383371305341142e-08
0,339,0,9.270335201110426e-08
0,340,0,9.535132839295972e-08
0,341,0,9.515796530369848e-08
0,342,0,9.818583021655982e-08
0,343,0,9.730526544500287e-08
0,344,0,1.012061352713019e-07
0,345,0,1.013741716291202e-07
0,346,0,1.074825029267573e-07
0,347,0,1.000696916671061e-07
0,348,0,9.710496518647933e-08
0,349,0,1.014349121628845e-07
0,350,0,1.021788053413807e-07
0,351,0,9.836459966506442e-08
0,352,0,1.0339748152062e-07
0,353,0,1.055776428911887e-07
0,354,0,1.032672999968478e-07
0,355,0,1.018853150001286e-07
0,356,0,1.056631428422256e-07
0,357,0,1.072339795015793e-07
0,358,0,1.097955440449e-07
0,359,0,1.083625755671925e-07
0,360,0,1.080144992531583e-07
0,361,0,1.097368144230105e-07
0,362,0,1.065681634884437e-07
0,363,0,1.091106188277708e-07
0,364,0,1.14662080346183e-07
0,365,0,1.065875274655057e-07
0,366,0,1.092140813758291e-07
0,367,0,1.139595098556257e-07
0,368,0,1.179549702584823e-07
0,369,0,1.142762679771967e-07
0,370,0,1.174211179620303e-07
0,371,0,1.177630140177378e-07
0,372,0,1.123677851352739e-07
0,373,0,1.165554834897929e-07
0,374,0,1.157921507931817e-07
0,375,0,1.191692030592303e-07
0,376,0,1.170433055815832e-07
0,377,0,1.145998682267508e-07
0,378,0,1.177743214390652e-07
0,379,0,1.186911743009086e-07
0,380,0,1.219166493519285e-07
0,381,0,1.203579375893889e-07
0,382,0,1.241456898123779e-07
0,383,0,1.218824534615844e-07
0,384,0,1.207429368917003e-07
0,385,0,1.251588932417712e-07
0,386,0,1.255446845784686e-07
