# mesh name: boxMesh_1
# primitive scorer name: eD
# iX, iY, iZ, value [Gy]
0,0,0,1.254338157347097e-08
0,1,0,1.136394865324667e-08
0,2,0,1.242908653958985e-08
0,3,0,1.281565962807135e-08
0,4,0,1.018024831400464e-08
0,5,0,1.259449997079757e-08
0,6,0,1.217595460809761e-08
0,7,0,1.088259757715532e-08
0,8,0,1.0646777108435e-08
0,9,0,1.221929992917356e-08
0,10,0,1.148502135079366e-08
0,11,0,9.38622493195034e-09
0,12,0,9.806012452057157e-09
0,13,0,1.042600501744855e-08
0,14,0,1.174529222589009e-08
0,15,0,1.025573448071754e-08
0,16,0,1.142464292705095e-08
0,17,0,1.241391219118626e-08
0,18,0,1.143581771883325e-08
0,19,0,1.176388454884615e-08
0,20,0,1.084312736962734e-08
0,21,0,9.406216152344569e-09
0,22,0,1.071782136993686e-08
0,23,0,1.075548205691293e-08
0,24,0,1.127331040194083e-08
0,25,0,1.081874782661128e-08
0,26,0,1.343491731439048e-08
0,27,0,1.14204885471553e-08
0,28,0,1.152388423732418e-08
0,29,0,1.140542915849758e-08
0,30,0,1.115952305543378e-08
0,31,0,1.143289147805635e-08
0,32,0,1.213953201453797e-08
0,33,0,1.091207301552063e-08
0,34,0,1.270708820414957e-08
0,35,0,1.346464461511707e-08
0,36,0,1.108175050535965e-08
0,37,0,1.313137218618622e-08
0,38,0,1.2687927153548e-08
0,39,0,1.225997323403208e-08
0,40,0,1.410748046986559e-08
0,41,0,1.226963195804813e-08
0,42,0,1.465015829452965e-08
0,43,0,1.614240532026384e-08
0,44,0,1.731139347259915e-08
0,45,0,1.395560385896246e-08
0,46,0,1.280908342490181e-08
0,47,0,1.183934346617407e-08
0,48,0,1.297909139952573e-08
0,49,0,1.347002409591886e-08
0,50,0,1.413394387261194e-08
0,51,0,1.360747065661655e-08
0,52,0,1.30491388877421e-08
0,53,0,1.220812645637437e-08
0,54,0,1.269856547231926e-08
0,55,0,1.276460834634804e-08
0,56,0,1.281726254577046e-08
0,57,0,1.403698752066186e-08
0,58,0,1.13530886952904e-08
0,59,0,1.334564085571504e-08
0,60,0,1.420835106204508e-08
0,61,0,1.38687285445912e-08
0,62,0,1.625242433093394e-08
0,63,0,1.522848448830261e-08
0,64,0,1.571232845510354e-08
0,65,0,1.505815300663555e-08
0,66,0,1.260100520146208e-08
0,67,0,1.234719963705662e-08
0,68,0,1.470677289865815e-08
0,69,0,1.364590049348231e-08
0,70,0,1.724358723448488e-08
0,71,0,1.641548367527189e-08
0,72,0,1.430807767299625e-08
0,73,0,1.651858843267642e-08
0,74,0,1.662303152187713e-08
0,75,0,1.643586303722688e-08
0,76,0,1.659442435853267e-08
0,77,0,1.760164704890775e-08
0,78,0,1.851178183622709e-08
0,79,0,1.71306173055014e-08
0,80,0,1.599163944683212e-08
0,81,0,1.663675257166028e-08
0,82,0,1.778772151503385e-08
0,83,0,1.586752571444394e-08
0,84,0,1.573106447993764e-08
0,85,0,1.618534654195469e-08
0,86,0,1.609834814229804e-08
0,87,0,1.766263316137059e-08
0,88,0,1.617731497251558e-08
0,89,0,1.821700630861753e-08
0,90,0,1.892726942404918e-08
0,91,0,1.759425666052461e-08
0,92,0,1.635675461487908e-08
0,93,0,1.625718496437622e-08
0,94,0,1.72955539992463e-08
0,95,0,1.70938980210895e-08
0,96,0,1.631853665702753e-08
0,97,0,1.634905103925905e-08
0,98,0,1.771380241676371e-08
0,99,0,1.734758491066026e-08
0,100,0,1.776802736019244e-08
0,101,0,1.715186118442439e-08
0,102,0,1.683777555231455e-08
0,103,0,1.5351713200787e-08
0,104,0,1.53684029408195e-08
0,105,0,1.78588386775631e-08
0,106,0,2.156027087901343e-08
0,107,0,2.166729390268743e-08
0,108,0,2.168108765965597e-08
0,109,0,1.996753670183591e-08
0,110,0,1.680825558721969e-08
0,111,0,1.908084077196474e-08
0,112,0,1.80696716781269e-08
0,113,0,1.880553476811715e-08
0,114,0,1.882965631924824e-08
0,115,0,1.929813442703786e-08
0,116,0,2.191118309439686e-08
0,117,0,2.07395966267815e-08
0,118,0,2.08770890213149e-08
0,119,0,1.802328264803921e-08
0,120,0,1.901318854917085e-08
0,121,0,1.808200765730232e-08
0,122,0,1.892585094373635e-08
0,123,0,1.966312336157542e-08
0,124,0,2.192745204869039e-08
0,125,0,2.14828969700658e-08
0,126,0,2.217024374228064e-08
0,127,0,2.291280311850531e-08
0,128,0,1.990962414495644e-08
0,129,0,2.172988008339343e-08
0,130,0,2.367691054648273e-08
0,131,0,2.227891620842243e-08
0,132,0,2.34223953418861e-08
0,133,0,2.235994180428991e-08
0,134,0,2.293321451692116e-08
0,135,0,2.22150628116434e-08
0,136,0,2.270174893169559e-08
0,137,0,2.146091768671106e-08
0,138,0,2.493486223113931e-08
0,139,0,2.272085129723522e-08
0,140,0,1.961085778374184e-08
0,141,0,2.174007285128472e-08
0,142,0,2.12958445792661e-08
0,143,0,2.103593633263739e-08
0,144,0,2.041097335651233e-08
0,145,0,2.066718040002105e-08
0,146,0,2.329188634519225e-08
0,147,0,2.077218715634942e-08
0,148,0,2.206483051743672e-08
0,149,0,2.37363835552788e-08
0,150,0,2.214281899461273e-08
0,151,0,2.368757445029167e-08
0,152,0,2.2958109605102e-08
0,153,0,2.278568646260494e-08
0,154,0,2.389860640409146e-08
0,155,0,2.473233443786561e-08
0,156,0,2.263056300241652e-08
0,157,0,2.173681122059524e-08
0,158,0,2.461330627690812e-08
0,159,0,2.357782596740768e-08
0,160,0,2.466267467862218e-08
0,161,0,2.66671552433878e-08
0,162,0,2.186380849102878e-08
0,163,0,2.39010513551277e-08
0,164,0,2.734071369967587e-08
0,165,0,2.280840693960067e-08
0,166,0,2.396958476668944e-08
0,167,0,2.603048164483652e-08
0,168,0,2.742398834165737e-08
0,169,0,2.279658398511187e-08
0,170,0,2.284078000290858e-08
0,171,0,2.433856451735673e-08
0,172,0,2.543475557265187e-08
0,173,0,2.500787407150761e-08
0,174,0,2.355412863433614e-08
0,175,0,2.704580832065995e-08
0,176,0,3.250876684094499e-08
