# mesh name: boxMesh_1
# primitive scorer name: eD
# iX, iY, iZ, value [Gy]
0,0,0,7.998265913445656e-09
0,1,0,1.036581209221448e-08
0,2,0,8.779781818381677e-09
0,3,0,7.439235356421034e-09
0,4,0,8.607315779533974e-09
0,5,0,8.256055821842835e-09
0,6,0,8.560314512095526e-09
0,7,0,7.649906428824368e-09
0,8,0,9.189835317306989e-09
0,9,0,8.948789068321557e-09
0,10,0,7.645800756422844e-09
0,11,0,9.151800275816032e-09
0,12,0,9.304597861480424e-09
0,13,0,8.055809637244689e-09
0,14,0,8.608893898810415e-09
0,15,0,1.020849726832671e-08
0,16,0,1.089967773512793e-08
0,17,0,1.048471106124108e-08
0,18,0,1.102319585529997e-08
0,19,0,1.032956109637631e-08
0,20,0,1.15229688283705e-08
0,21,0,1.085454074604088e-08
0,22,0,1.130581809711928e-08
0,23,0,1.075361420792549e-08
0,24,0,1.036997298594993e-08
0,25,0,9.34012322033911e-09
0,26,0,1.043113995028878e-08
0,27,0,9.86983780715853e-09
0,28,0,9.274366703325108e-09
0,29,0,9.502060288287239e-09
0,30,0,1.053801695343061e-08
0,31,0,1.072941649962873e-08
0,32,0,1.05110489277843e-08
0,33,0,1.009065849461889e-08
0,34,0,1.15243658432119e-08
0,35,0,1.082178996281856e-08
0,36,0,1.083245597229539e-08
0,37,0,1.110045498680297e-08
0,38,0,1.10366957527482e-08
0,39,0,1.190526356268798e-08
0,40,0,1.210339137788552e-08
0,41,0,1.060417599729539e-08
0,42,0,1.146574595084085e-08
0,43,0,1.00056631693135e-08
0,44,0,8.68858304536266e-09
0,45,0,1.028043990814451e-08
0,46,0,1.033837559454782e-08
0,47,0,1.241759758288149e-08
0,48,0,1.142650815890073e-08
0,49,0,1.084462535681773e-08
0,50,0,1.129154162102473e-08
0,51,0,1.09447102900803e-08
0,52,0,1.171358376006334e-08
0,53,0,1.323355716453579e-08
0,54,0,1.185945987974609e-08
0,55,0,1.259155545499464e-08
0,56,0,1.02160600036034e-08
0,57,0,1.206145037697676e-08
0,58,0,1.153983093747808e-08
0,59,0,1.140478094515225e-08
0,60,0,1.024325773928479e-08
0,61,0,1.273949170731986e-08
0,62,0,1.226458716045037e-08
0,63,0,1.178338503966785e-08
0,64,0,1.40219885318118e-08
0,65,0,1.266242430520119e-08
0,66,0,1.180681775225798e-08
0,67,0,1.288264214497601e-08
0,68,0,1.45792699032221e-08
0,69,0,1.167199378864824e-08
0,70,0,1.071875927051767e-08
0,71,0,1.122149501558114e-08
0,72,0,1.119119995711115e-08
0,73,0,1.153773949083652e-08
0,74,0,1.302018783883496e-08
0,75,0,1.20078640137217e-08
0,76,0,1.360899196396476e-08
0,77,0,1.379606202905777e-08
0,78,0,1.286592485639064e-08
0,79,0,1.549882027754812e-08
0,80,0,1.219929950347867e-08
0,81,0,1.429460666766928e-08
0,82,0,1.357832735656316e-08
0,83,0,1.315623986166899e-08
0,84,0,1.295949888372727e-08
0,85,0,1.517245384454016e-08
0,86,0,1.54051776437433e-08
0,87,0,1.29749504435578e-08
0,88,0,1.274692707291831e-08
0,89,0,1.270385914361028e-08
0,90,0,1.564065633960272e-08
0,91,0,1.38671826231379e-08
0,92,0,1.49859007105279e-08
0,93,0,1.430153355790967e-08
0,94,0,1.314011196106821e-08
0,95,0,1.438282058696104e-08
0,96,0,1.183722081171603e-08
0,97,0,1.233576623802227e-08
0,98,0,1.314731877189062e-08
0,99,0,1.32872119599566e-08
0,100,0,1.52270774160665e-08
0,101,0,1.482981041745028e-08
0,102,0,1.490138193189406e-08
0,103,0,1.512266096792654e-08
0,104,0,1.484543781303849e-08
0,105,0,1.356163103018354e-08
0,106,0,1.514584144648253e-08
0,107,0,1.580274545607163e-08
0,108,0,1.747955028364553e-08
0,109,0,1.727412338499169e-08
0,110,0,1.579469210375919e-08
0,111,0,1.631880456896097e-08
0,112,0,1.543700915166729e-08
0,113,0,1.643770890508853e-08
0,114,0,1.583132720866375e-08
0,115,0,1.484025139035212e-08
0,116,0,1.73391951493715e-08
0,117,0,1.808235571801527e-08
0,118,0,1.618839495736867e-08
0,119,0,1.574491260823557e-08
0,120,0,1.688102340778566e-08
0,121,0,1.934330066848106e-08
0,122,0,1.750426398660498e-08
0,123,0,1.894049672614702e-08
0,124,0,1.835010659362504e-08
0,125,0,1.73328011509498e-08
0,126,0,1.630019743725021e-08
0,127,0,1.775025365203395e-08
0,128,0,1.892189518328964e-08
0,129,0,1.784222669272777e-08
0,130,0,1.577589835035585e-08
0,131,0,1.832120773069767e-08
0,132,0,1.934757113806462e-08
0,133,0,1.862137761050006e-08
0,134,0,1.765659703148873e-08
0,135,0,1.871199360787871e-08
0,136,0,1.938802277514341e-08
0,137,0,1.785877464446843e-08
0,138,0,1.913616410324133e-08
0,139,0,1.845409479737586e-08
0,140,0,1.829212305611779e-08
0,141,0,1.983649074019909e-08
0,142,0,2.015690660667816e-08
0,143,0,1.82117121903441e-08
0,144,0,1.864826409979864e-08
0,145,0,1.765841386942375e-08
0,146,0,1.985586248236042e-08
0,147,0,1.840395008417434e-08
0,148,0,2.267621687928009e-08
0,149,0,2.318979644862604e-08
0,150,0,2.112054602156745e-08
0,151,0,2.274547239408099e-08
0,152,0,1.971565972004444e-08
0,153,0,1.878071489796067e-08
0,154,0,2.025966280814389e-08
0,155,0,1.802099678891831e-08
0,156,0,2.320894979623243e-08
0,157,0,2.357336107675977e-08
0,158,0,2.159206660342911e-08
0,159,0,2.283458828933454e-08
0,160,0,2.132663598168624e-08
0,161,0,2.1705164558487e-08
0,162,0,2.209478391347971e-08
0,163,0,1.977733717592634e-08
0,164,0,2.026260118864498e-08
0,165,0,2.285289193756486e-08
0,166,0,2.307243900404384e-08
0,167,0,2.165213159040838e-08
0,168,0,2.019615286819829e-08
0,169,0,2.150239776384148e-08
0,170,0,2.021370453045613e-08
0,171,0,2.410153060394797e-08
0,172,0,2.261006540474902e-08
0,173,0,2.498981096476319e-08
0,174,0,2.63319905486964e-08
0,175,0,2.347188697346349e-08
0,176,0,2.192562170311138e-08
0,177,0,2.34186886195049e-08
0,178,0,2.297609993921191e-08
0,179,0,2.378895222648077e-08
0,180,0,2.229735166211846e-08
0,181,0,2.388288028258782e-08
0,182,0,2.593391348233197e-08
0,183,0,2.485352733803583e-08
0,184,0,2.360357334777414e-08
0,185,0,2.740368536373696e-08
0,186,0,2.740789371480945e-08
0,187,0,2.53899602835554e-08
0,188,0,2.636099873354658e-08
0,189,0,2.589416495857927e-08
0,190,0,2.560591127751762e-08
0,191,0,3.006592670379207e-08
0,192,0,2.895546946249382e-08
0,193,0,2.773013012901882e-08
0,194,0,2.819456213130662e-08
0,195,0,2.569055264733568e-08
0,196,0,2.56611106076564e-08
0,197,0,2.663753035048123e-08
0,198,0,2.577484427566036e-08
0,199,0,2.77791382400927e-08
0,200,0,2.72564274389191e-08
0,201,0,2.875931261366741e-08
0,202,0,2.704748423413951e-08
0,203,0,2.603585535220122e-08
0,204,0,2.752880170427832e-08
0,205,0,2.517435540924984e-08
0,206,0,2.770521196099577e-08
0,207,0,2.313394968480035e-08
0,208,0,2.713028674825173e-08
0,209,0,2.862633301211369e-08
0,210,0,2.992049005460251e-08
0,211,0,3.090741696009669e-08
0,212,0,3.111172701316534e-08
0,213,0,2.549527680443268e-08
0,214,0,2.638498474945774e-08
0,215,0,2.858141466830938e-08
0,216,0,2.873829300230427e-08
0,217,0,3.085010608446588e-08
0,218,0,2.890245699246496e-08
0,219,0,2.892501886093581e-08
0,220,0,3.122856324565481e-08
0,221,0,3.265514492820397e-08
0,222,0,3.044998012312518e-08
0,223,0,3.070530403077038e-08
0,224,0,3.476159008781515e-08
0,225,0,3.232917453534906e-08
0,226,0,3.317511202890839e-08
0,227,0,3.198679224361889e-08
0,228,0,3.177110670801519e-08
0,229,0,2.83786943369524e-08
0,230,0,2.921936116119686e-08
0,231,0,2.927686241446556e-08
0,232,0,3.276550008366921e-08
0,233,0,2.996033203815062e-08
0,234,0,3.206708183333244e-08
0,235,0,3.388155548726878e-08
0,236,0,3.476506797985817e-08
0,237,0,3.283631181439559e-08
0,238,0,3.422736208296184e-08
0,239,0,3.31337416582482e-08
0,240,0,3.269170768984411e-08
0,241,0,3.09250737599094e-08
0,242,0,3.422300428051776e-08
0,243,0,3.511766594479253e-08
0,244,0,3.520860304734727e-08
0,245,0,3.483845242542208e-08
0,246,0,3.554597510251005e-08
0,247,0,3.694820763823989e-08
0,248,0,3.443885067697121e-08
0,249,0,3.268132767628422e-08
0,250,0,3.576436088497355e-08
0,251,0,3.443982331287063e-08
0,252,0,3.579355820960662e-08
0,253,0,3.421221594819704e-08
0,254,0,3.411885935648264e-08
0,255,0,3.483116365010194e-08
0,256,0,3.441182868529959e-08
0,257,0,3.526003152283827e-08
0,258,0,3.74238312446269e-08
0,259,0,3.520684436000548e-08
0,260,0,3.677569186672377e-08
0,261,0,3.678141284102422e-08
0,262,0,4.057947699327411e-08
0,263,0,3.975160488132125e-08
0,264,0,3.935800055110453e-08
0,265,0,4.155117240786136e-08
0,266,0,4.194654617053269e-08
0,267,0,3.982826456346974e-08
0,268,0,4.169953392608415e-08
0,269,0,3.866244772140279e-08
0,270,0,3.749682902330498e-08
0,271,0,4.170248983954809e-08
0,272,0,3.857730168739936e-08
0,273,0,4.13430570565076e-08
0,274,0,3.880580574139435e-08
0,275,0,3.871611721087149e-08
0,276,0,4.204409399274765e-08
0,277,0,3.730732897512433e-08
0,278,0,4.261693947229017e-08
0,279,0,4.539466188242074e-08
0,280,0,4.290018311275359e-08
0,281,0,4.650146751471116e-08
0,282,0,4.859674531248967e-08
0,283,0,4.635852648370418e-08
0,284,0,4.679436630821262e-08
0,285,0,4.354478746570184e-08
0,286,0,4.429253106994098e-08
0,287,0,4.69983877956487e-08
0,288,0,4.534740403170321e-08
0,289,0,4.219797585899868e-08
0,290,0,4.523852923323056e-08
0,291,0,4.511605992654172e-08
0,292,0,4.564339921491898e-08
0,293,0,4.949232181933225e-08
0,294,0,4.841708803585444e-08
0,295,0,4.603713631148637e-08
0,296,0,4.457562555385625e-08
0,297,0,5.092236341625812e-08
0,298,0,4.814011999575401e-08
0,299,0,4.779753744494753e-08
0,300,0,4.919541126950753e-08
0,301,0,4.618880087842456e-08
0,302,0,4.492202237841901e-08
0,303,0,4.800128435044086e-08
0,304,0,4.639682086847329e-08
0,305,0,4.942415436162941e-08
0,306,0,4.762439625516803e-08
0,307,0,5.015923866676969e-08
0,308,0,5.046913063019212e-08
0,309,0,5.086594439420416e-08
0,310,0,4.740339670080288e-08
0,311,0,5.09432237528512e-08
0,312,0,5.193980285097594e-08
0,313,0,5.49210476064977e-08
0,314,0,5.598019022562379e-08
0,315,0,5.269078550363648e-08
0,316,0,5.334754935135602e-08
0,317,0,5.219103915708442e-08
0,318,0,5.219365144221079e-08
0,319,0,5.259446994282486e-08
0,320,0,5.204503056709914e-08
0,321,0,4.796395978830784e-08
0,322,0,5.239914384149554e-08
0,323,0,5.607825241577271e-08
0,324,0,5.671527643415082e-08
0,325,0,5.528749954267624e-08
0,326,0,6.166604036972975e-08
0,327,0,5.826745704127593e-08
0,328,0,5.751188829434704e-08
0,329,0,6.007879826398966e-08
0,330,0,5.735444838597395e-08
0,331,0,5.356220695294425e-08
0,332,0,5.667263999381546e-08
0,333,0,5.367210341116399e-08
0,334,0,6.06697578358234e-08
0,335,0,5.821052044587463e-08
0,336,0,6.089899948048005e-08
0,337,0,5.694505863796654e-08
0,338,0,5.297775003815776e-08
0,339,0,5.764705556061298e-08
0,340,0,5.919618275705288e-08
0,341,0,6.025588425845452e-08
0,342,0,6.418555482940713e-08
0,343,0,6.42519089685715e-08
0,344,0,5.907375613494914e-08
0,345,0,6.020204453786276e-08
0,346,0,6.386963908066617e-08
0,347,0,6.292051919060641e-08
0,348,0,6.461797572528032e-08
0,349,0,6.809068569993961e-08
0,350,0,7.164385329991071e-08
0,351,0,6.735616789501511e-08
0,352,0,6.566148872380014e-08
0,353,0,6.425909315584338e-08
0,354,0,6.616573402146327e-08
0,355,0,6.49341264539611e-08
0,356,0,6.978552693534182e-08
0,357,0,6.640333158880618e-08
0,358,0,6.493050327699196e-08
0,359,0,6.523720476214352e-08
0,360,0,7.021416858100479e-08
0,361,0,6.908353731171884e-08
0,362,0,6.787840348063905e-08
0,363,0,7.06772904031621e-08
0,364,0,7.262371831074256e-08
0,365,0,7.859273806585604e-08
0,366,0,7.957273687873775e-08
0,367,0,7.643569633229441e-08
0,368,0,7.424197909542105e-08
