# mesh name: boxMesh_1
# primitive scorer name: eD
# iX, iY, iZ, value [Gy]
0,0,0,1.49190166863284e-08
0,1,0,1.667743037595123e-08
0,2,0,1.731591233451352e-08
0,3,0,1.716360679862686e-08
0,4,0,1.793570931787506e-08
0,5,0,1.577117374125448e-08
0,6,0,1.554023286482595e-08
0,7,0,1.57956818228203e-08
0,8,0,1.552339166956226e-08
0,9,0,1.664306162122555e-08
0,10,0,1.761851290390254e-08
0,11,0,1.534318795793434e-08
0,12,0,1.722947159633528e-08
0,13,0,1.868116142836047e-08
0,14,0,1.767223749300965e-08
0,15,0,1.871513114120487e-08
0,16,0,1.810156029855397e-08
0,17,0,1.708707297610947e-08
0,18,0,1.836527314438198e-08
0,19,0,1.735319604146383e-08
0,20,0,1.656123029444537e-08
0,21,0,1.83370767957934e-08
0,22,0,1.779106907984906e-08
0,23,0,2.008177447469496e-08
0,24,0,1.787777664990049e-08
0,25,0,1.837440652285455e-08
0,26,0,1.902548718181102e-08
0,27,0,1.639171560948872e-08
0,28,0,1.696356321439873e-08
0,29,0,1.9715322144357e-08
0,30,0,1.859848212049697e-08
0,31,0,1.911422471428177e-08
0,32,0,1.934346585507741e-08
0,33,0,1.835233741286428e-08
0,34,0,2.08138445740878e-08
0,35,0,2.096374440055942e-08
0,36,0,2.015212397945107e-08
0,37,0,2.220615665633886e-08
0,38,0,2.165531607307817e-08
0,39,0,1.859635177832589e-08
0,40,0,2.084552141968206e-08
0,41,0,1.996355080766743e-08
0,42,0,1.93049603679724e-08
0,43,0,2.06502713843832e-08
0,44,0,2.031846192705841e-08
0,45,0,2.036117729368882e-08
0,46,0,1.986321380763466e-08
0,47,0,2.087236760388006e-08
0,48,0,2.008657122739789e-08
0,49,0,2.319641144749166e-08
0,50,0,2.055456452576922e-08
0,51,0,2.12301290570541e-08
0,52,0,2.203285547144592e-08
0,53,0,2.199497246403872e-08
0,54,0,2.280155319074341e-08
0,55,0,2.20463173977868e-08
0,56,0,1.960997611452128e-08
0,57,0,2.445283117173957e-08
0,58,0,2.237254893124416e-08
0,59,0,2.368021189977493e-08
0,60,0,2.356761085131373e-08
0,61,0,2.321090509472858e-08
0,62,0,2.202259099163828e-08
0,63,0,2.195684296964562e-08
0,64,0,2.541237142480421e-08
0,65,0,2.618047726375483e-08
0,66,0,2.729192373697008e-08
0,67,0,2.726192357821937e-08
0,68,0,2.346054120001588e-08
0,69,0,2.51934104217914e-08
0,70,0,2.326123957068289e-08
0,71,0,2.54399275888661e-08
0,72,0,2.441818686898383e-08
0,73,0,2.614624967742285e-08
0,74,0,2.362263740824569e-08
0,75,0,2.389066463151846e-08
0,76,0,2.45973724283327e-08
0,77,0,2.648437606249654e-08
0,78,0,2.333274138105993e-08
0,79,0,2.467688524013558e-08
0,80,0,2.560944405228748e-08
0,81,0,2.618069916362082e-08
0,82,0,2.77191562399524e-08
0,83,0,2.672124554566509e-08
0,84,0,2.71325900607841e-08
0,85,0,2.487537456446762e-08
0,86,0,2.614743330266488e-08
0,87,0,2.597252800307104e-08
0,88,0,2.69942097467548e-08
0,89,0,2.743289925263676e-08
0,90,0,2.914169036519363e-08
0,91,0,2.639779473904782e-08
0,92,0,2.624370704471809e-08
0,93,0,2.8567118048574e-08
0,94,0,3.103576119541899e-08
0,95,0,2.657794001565082e-08
0,96,0,2.716438443189413e-08
0,97,0,2.788656456014409e-08
0,98,0,2.315608799794598e-08
0,99,0,2.268768239652831e-08
0,100,0,2.524934849425322e-08
0,101,0,2.888596618027428e-08
0,102,0,2.762391050002281e-08
0,103,0,2.941047655922256e-08
0,104,0,2.762326668824207e-08
0,105,0,2.942902665890368e-08
0,106,0,2.792334440996357e-08
0,107,0,2.764815549432897e-08
0,108,0,2.820284339446979e-08
0,109,0,2.802527446096274e-08
0,110,0,3.119156518922378e-08
0,111,0,3.10746359341197e-08
0,112,0,2.818904028574124e-08
0,113,0,2.767355344444004e-08
0,114,0,2.747412929235391e-08
0,115,0,2.848303971479698e-08
0,116,0,2.760595725808395e-08
0,117,0,2.997248324863389e-08
0,118,0,3.023395270622575e-08
0,119,0,2.953928364784311e-08
0,120,0,3.345789869718812e-08
0,121,0,3.183612281437885e-08
0,122,0,3.114480156330496e-08
0,123,0,3.385666746076586e-08
0,124,0,3.152262178734824e-08
0,125,0,3.23314742020543e-08
0,126,0,3.156390613866776e-08
0,127,0,3.297414971299966e-08
0,128,0,3.057595318990705e-08
0,129,0,3.178161901670978e-08
0,130,0,3.081049998946564e-08
0,131,0,3.185064101311728e-08
0,132,0,2.902771502861379e-08
0,133,0,3.221943664516279e-08
0,134,0,3.410824348954463e-08
0,135,0,3.189849352528697e-08
0,136,0,2.911690413813867e-08
0,137,0,3.390828476895497e-08
0,138,0,3.141604348044296e-08
0,139,0,3.386436481310769e-08
0,140,0,3.691276616126652e-08
0,141,0,3.69054606982721e-08
0,142,0,3.774269258448846e-08
0,143,0,3.725165057748568e-08
0,144,0,3.503735217732789e-08
0,145,0,3.717452213908816e-08
0,146,0,3.71975074219774e-08
0,147,0,3.631046180781848e-08
0,148,0,3.732505209850094e-08
0,149,0,3.853735049281114e-08
0,150,0,3.584815951339393e-08
0,151,0,3.438993868888133e-08
0,152,0,3.855328926610162e-08
0,153,0,3.537770828458618e-08
0,154,0,3.521088021801568e-08
0,155,0,3.528129907182187e-08
0,156,0,3.856662613441476e-08
0,157,0,3.982119043557256e-08
0,158,0,3.764611920059431e-08
0,159,0,3.692672958510885e-08
0,160,0,3.940029987912215e-08
0,161,0,3.840172419406977e-08
0,162,0,3.736603914578604e-08
0,163,0,3.984303837439711e-08
0,164,0,3.817116128079502e-08
0,165,0,3.876565006067177e-08
0,166,0,3.712470109044365e-08
0,167,0,3.730833755811427e-08
0,168,0,4.095724940043719e-08
0,169,0,4.220334384071768e-08
0,170,0,4.032815275419113e-08
0,171,0,3.588756304092614e-08
0,172,0,4.027711525026671e-08
0,173,0,3.732594799932302e-08
0,174,0,3.898631148161534e-08
0,175,0,4.003095908817903e-08
0,176,0,4.04956941280636e-08
0,177,0,4.033162112990837e-08
0,178,0,4.534430535447106e-08
0,179,0,4.049537540963603e-08
0,180,0,4.086602254181005e-08
0,181,0,4.01477998151341e-08
0,182,0,4.150758083868434e-08
0,183,0,4.462880674204361e-08
0,184,0,3.959940152115652e-08
0,185,0,4.280273617240538e-08
0,186,0,4.870662299215801e-08
0,187,0,5.043850189264755e-08
0,188,0,4.649284414401448e-08
0,189,0,4.614952884131614e-08
0,190,0,4.678123347483118e-08
0,191,0,4.369890203089399e-08
0,192,0,4.268822633099962e-08
0,193,0,4.522754655008808e-08
0,194,0,4.529400623271564e-08
0,195,0,4.516122935479161e-08
0,196,0,4.345578215359747e-08
0,197,0,4.512450433177823e-08
0,198,0,5.062921746606731e-08
0,199,0,4.518802748717919e-08
0,200,0,4.647865005598634e-08
0,201,0,4.47028942617622e-08
0,202,0,4.877428685134576e-08
0,203,0,4.688280138485748e-08
0,204,0,4.417912244854722e-08
0,205,0,4.594427761440749e-08
0,206,0,5.019428282146555e-08
0,207,0,4.695351500660261e-08
0,208,0,4.593150781723425e-08
0,209,0,4.540120295488732e-08
0,210,0,4.777053474199703e-08
0,211,0,4.645428034208933e-08
0,212,0,4.933179422628155e-08
0,213,0,5.178451646949056e-08
0,214,0,5.331336077047788e-08
0,215,0,5.259605092515187e-08
0,216,0,5.141258376304295e-08
0,217,0,4.986146182334565e-08
0,218,0,5.270746969148162e-08
0,219,0,5.265250752930376e-08
0,220,0,5.29475567274265e-08
0,221,0,5.12595690391027e-08
0,222,0,5.254087398536815e-08
0,223,0,5.255005806362567e-08
0,224,0,4.782615222051982e-08
0,225,0,4.993544624242354e-08
0,226,0,4.889217064223772e-08
0,227,0,5.235369276177618e-08
0,228,0,5.048876753236068e-08
0,229,0,5.384524810209073e-08
0,230,0,5.443215964695449e-08
0,231,0,5.531178920197421e-08
0,232,0,6.047267803878572e-08
0,233,0,5.636202975842902e-08
0,234,0,5.798974731207787e-08
